University;Name;Brief overview;Industry;Overview of innovation;Technology benefits;Technology applications;Technology readiness level (TRL)
UCT;Immerse Cell - Virtual Reality Learning Experiences for teaching Cell Biology;Virtual reality experience (VLE) to teach students about key cellular structures with an interactive, narrated, guided experience;Education, IT;"ImmerseCell is a virtual reality experience (VLE) to teach undergraduate and postgraduate students about key cellular structures with an interactive, narrated, guided experience (Figure 1, ﻿Figure 2). The team utilised real-world microscopy data of various key cellular structures in the mammalian cell and reconstructed them into 3D models that can be used as learning objects in a virtual environment.

ImmserseCell was developed using 3D modelling software and Unreal Engine to create the entire VR learning experience. The VLE can be deployed in a variety of high-end and low-end headsets. Software is cross-platform and independent of any specific virtual reality platform.

The experiences use both artist impressions and 3D reconstructions of these organelles based on real data acquired by fluorescence microscopy. Students can pick these structures and interact with them using motion controllers.";"Immersive learning experiences.
Enhanced spatial understanding.
True 3D representation of 3D data.
Simulations of real-world experimental data.";;6
UCT;Livestock Management Database Systems;A real-time, easy-to-use mobile-based livestock management solution.;Agriculture;Livestock Management Database System is a user-driven, holistic and easy-to-use mobile-based solution accessible on smartphones and computers (SaaS). It facilitates direct and two-way real-time communication among farmers, and between farmers and extension services, researchers, and agricultural service providers. Figure 1 presents a general schematic representation of the LMDS showing the customer segments and how they will be interlinked for a productive farming ecosystem. Compared to existing solutions, the app also builds a growing database of smallholder farmers which helps at policy level and for preserving indigenous knowledge.;"User-driven, holistic and easy-to-use
Accessible mobile-based solution
Direct and two-way real-time communication among users and their stakeholders
Time saving ";"The Livestock Management Database System app can be used by farmers to effectively communicate, transact and give feedback to fellow farmers, experts and value chain service providers and accurately capture all farming activities. The public extension can use the app to timely deliver well-coordinated and monitored extension services directly to farmers in real-time using fewer resources than before.

The targeted customer segments: farmers (B2C), government extension (B2G), value chain service providers (B2B) are required to pay annual subscription fees following a tiered subscription fee structure.";4
UCT;SUrgiTrack;A web-based platform for health care workers to streamline the entire surgical workflow, from diagnosis to surgery;Healthcare, IT;"SUrgiTrack is an innovative web-based platform designed to revolutionize the management of surgical workflows. Developed to address the inefficiencies and communication gaps in traditional surgical management systems, SUrgiTrack offers a comprehensive solution that streamlines the patient journey from diagnosis to surgery.

 Key Features 

Unified booking system: simplifies and automates the process of scheduling surgeries.
Efficient admission and theatre management: ensure smooth management of patient admissions and theatre schedules.
Centralized communication: facilitates seamless two-way communication between healthcare providers and patients, reducing errors and enhancing patient satisfaction.
Intelligent prioritization tool: Assists physicians in prioritizing patients based on medical urgency, ensuring timely and fair access to surgical care.
Standardized documentation: Provides a structured log book of surgical operations with standardized templates to enhance documentation accuracy and efficiency.
Resource consumption module: helps in forecasting and managing the resources required for specific surgical procedures, preventing shortages and wastage.
Advanced reporting system: Delivers actionable business intelligence to healthcare administrators, aiding in strategic planning and decision-making.";"Enhanced efficiency: reduces the administrative burden on healthcare providers, allowing them to focus more on patient care.
Improved patient outcomes: ensures timely surgeries and better resource allocation, leading to improved patient outcomes.
Cost savings: minimizes unnecessary emergency visits, tests, and complications, ultimately reducing the overall cost of managing surgical cases.
Better resource management: aligns resource allocation with patient needs, optimizing the utilization of surgical resources.";"SUrgiTrack is designed to benefit a wide range of healthcare institutions, including:

Community hospitals and departments of surgery
Academic hospitals and departments of surgery
High-volume private surgical practices
Ministries of Health
Medical aid and insurance companies ";4
UCT;Protein Extraction Process from Black Soldier Fly Larvae;An improved process for obtaining high-protein, low-fat extracts from Black Soldier Fly Larvae for agricultural and food market;Food technology;"The technology relates to a process for obtaining protein from Black Soldier Fly larvae (insects/worms). The process extracts protein from Black Soldier Fly Larvae (BSFL), separates the protein from undesired lipids and chitin and upgrades the protein to a consumer acceptable grade ultimately producing a dry powder final product. The technology fractionates the raw material to separately recover the lipids, protein and chitin fractions in a two-step extraction process. Ultrafiltration is then used to reduce the ash content in the protein. The extract is then dried to obtain the BSFL extract protein powder. The protein content, lipid content, ash content, chitin content and moisture content of the final product are verified within the following proximate composition:

The upgraded protein product produced is a high-protein, low ash powder product aimed to be suitable for use in human food products (e.g. soup powders, nutritional supplements etc.)

The process uses optimized processing conditions to obtain the claimed features. ";"Process selectively separates protein more accurately.
High-protein, low-fat product produced from process.
Properties such as colour and odour of protein product improved.
Undesired products from the process can be processed further to yield additional products.";"Protein meal suitable for human food market 
Protein suitable for animal and pet food
Biofertilizers
Agricultural industries";3
UCT;In Situ Photovoltaic Module Performance Monitoring System;A novel system to monitor the performance of PV modules in PV power plants;Energy;"The In situ photovoltaic module performance monitoring system, measures the maximum power point of a module, comparing it to the current operating point to determine the current performance of that module. 

The technology is installed in situ in PV power plants to monitor the performance of individual modules. It comprises a measuring device fitted into each module to measure voltage. The data is then transmitted wirelessly to a data-gathering device. The technology also comprises a perturbation device to perturb the operating point of a string of modules and provide additional information regarding the current performance of the individual modules with respect to their individual maximum power operating points. ";This technology provides accurate real-time and long-term data relating to the performance of individual modules relative to their maximum ability. This will enable a more precise analysis of the performance of a PV power plant and provide valuable data to identify aging modules. ;Large utility-scale and commercial-scale (rooftop) photovoltaic power plants.;3
UCT;Electric Vehicle Fleet Simulator;EV-fleet-sim is a software simulation tool used to evaluate the feasibility of electric vehicle (EV) fleets;Energy;In its current state, the software produces the key technical feasibility metrics and graphs, which help the user answer the questions of requirements and viability for a fleet. Although the software is free and open-source, it is a terminal/command-line application which requires technical IT expertise to use. A graphical web-based front-end of ev-fleet-sim is in development. The graphical version will be available on a paid subscription.;"Localized EV fleet evaluation tools
Accurate technical feasibility metric (i.e., energy demand) estimations";"Small and large delivery service business
Courier businesses
Cargo businesses
Public transport industry";6
SU;SoilTrac;The future of soil health monitoring;Agriculture;"SoilTrac enables the monitoring,in real time, of soil respiration rates (microbial, microfauna and plant metabolic activity) and other physical parameters(temperature, soil moisture levels etc.) through the implementation of various sensors and cloud capabilities(Edge-to-Cloud Approach).

The patent pending innovation lies in the in-field measurement of respired CO₂. In addition to monitoring soil respiration, the addition of the measurement of physicochemical parameters provide a modular platform that enables fit-for-purpose Precision Agriculture sensing.

The addition of multiple SoilTrac probes to the online monitoring dashboard allows for comparison of various parameters within and between fields, to establish improved understanding of the way that different soils respond to changes.";"The ability of SoilTrac to Monitor, Amend and Maintain facilitates the migration from a reactive to proactive approach to soil health.

Monitor: In situ, real-time monitoring of soil health is of utmost importance in precision agriculture.The collection and analysis of soil health data allows for trend analysis and proactive response to changes in soil health.
Amend: Real-time monitoring aids in identifying potential deviations from optimal operational parameters and amendments to soil can be made before major issues occur. Allowing cost-savings while being environmentally conscious.
Maintain: The ability to monitor and adjust soil health parameters allows for the maintenance of optimal operational parameters. The constant maintenance of soil health allows for better soil outcomes and productivity.";Agricultural industry;8
SU;Removing and Recovering Heavy Metals from Solutions Using Biosurfactants;An innovative approach for the removal and recovery of metal ions from solutions using biosurfactants;Mining, environment, construction;This technology uses the particular properties of a type of biosurfactant to selectively recover metals from solution. Using comparatively low concentrations of biosurfactant, the metals can be recovered (and potentially valorised), and the surfactant can even be recycled back for further metal recovery. This technology managed to reduce the metal content by up to 85%, even at very low metal concentrations. This technology works particularly well with divalent cations, and has potential application in the recovery of metals from leachates (such as copper);"High metal recover efficiency ‑ The technology manages to recover metals at even very low concentrations (in the mM range), whereas current technologies are generally extremely expensive at those concentration ranges. 
Environmentally Friendly ‑ The materials we use are used in low concentrations, are potentially recyclable, and more importantly are biodegradable, so thy can be used in the final polishing steps of wastewater treatment without detrimenting the environment.
Simple and Versatile Process ‑ The method is relatively straightforward and can be adapted to various removal techniques, including solvent extraction, settling, flotation, and filtration. 
Adjustable Operating Conditions ‑ The process allows for adjustments in air flow rates, solution pH, and surfactin concentration to optimize metal recovery and minimize water recovery in the foam overflow. ";"Potential applications include, but are not limited to:

Treatment of acid rock drainage
Treatment of mine waters, for intra-mine water recycling
Recovery of specific metals in process streams
Recovery of metals from leachates
Treatment of metal-rich industrial wastewaters";5
SU;Coating of Material with Biosurfactant Compounds;The application of biosurfactant- to the surface of HDPE, PVC and stainless-steel grade 304 materials to reduce bacterial adhesion;Water, food, medical, other;"Biosurfactants produced by Pseudomonas aeruginosa SB24 (rhamnolipid congeners), Bacillus amyloliquefaciens ST34 (surfactin and bacillomycin L analogues and homologues) and pigmented (P1) and non-pigmented (NP1) Serratia marcescens strains (serratamolide and glucosamine derivative homologues) were immobilised onto the surface of HDPE, PVC and stainless steel grade 304. To introduce functional groups (hydroxyl groups) to the surface of the materials, the materials were first treated with a Piranha solution and silanized with a 3-triethoxysilylpropan-1-amine (APTES) linker. The lipopeptides and glycolipid compounds were then chemically modified and covalently coupled to the APTES linker on the respective materials. 

Surface immobilisation of the biosurfactants onto the material surfaces was confirmed using attenuated total reflectance Fourier transform infrared spectroscopy, scanning electron microscopy coupled to backscattered electron imaging-energy dispersive x-ray spectroscopy and water contact angle measurements. The coating and immobilization methods provide covalent linkages between the antimicrobial biosurfactant compounds and the APTES-functionalised material. The covalent nature of the bonding may be expected to reduce leaching, enhance long-term stability and increase the duration of antimicrobial efficacy. The biosurfactant coated materials have the potential to be exploited as biomaterials to prevent or delay the onset of biofilm formation.";Biosurfactants are naturally produced compounds that exhibit several advantages over chemical surfactants, including lower toxicity, effectiveness at extreme temperatures or pH values, biocompatibility, and digestibility. Moreover, biosurfactant‑coated materials may reduce microbial contamination and biofouling of materials commonly utilised in the food, water or medical industries.;"The water sector for the water distribution systems (pipes, taps, valves), water-storage tanks and water conveyance.
The food industry for food vending equipment and food processing plants and equipment surfaces in contact with food.
The medical industries for surface materials and implant devices e.g. catheters, and for use in hospitals and clinical settings.
Biomedical and biotechnology industries, general industrial cooling systems, shipping and marine industries. ";8
SU;Paper Sludge to Value Product Through Using a New Contaminant Sensitive Bioprocesses Technology;This reduces the number of contaminating organisms to acceptable levels and also aseptic transfer of the feedstock for the bioethanol market;;In an application of the process, the sterilisation system feeds an aliquot of paper sludge into the chamber of a decontamination vessel. Heat is provided to feedstock through direct contact between the reactor wall and direct steam injection. Sterilisation commences once the content of the decontamination unit reaches the desired temperature where it is maintained for about an hour. The unit is depressurised after sterilisation maintaining a positive pressure either by keeping an elevated temperature or by pressurising the unit with sterile air. The content of the decontamination unit is well mixed, during heating-up, sterilisation and depressurisation to ensure break-up of particles into a fine mix. The purpose of the mixing at elevate temperature is to evict trapped and sheltered organisms from the matrix of the feedstock. The mixture is loaded into a decontamination chamber. It is essential that the decontamination part of the process remain under elevated temperature to maintain sterility. A steam jacket surrounds the chambers and valves. After the sterilisation process the sterile product is pumped into the biofuel reactor vessel.;"Advantages

The high bioburden of paper sludge makes it very difficult to ferment. Unwanted paper sludge enters the fermenter via the paper sludge and becomes competition for the fermenting organism.

The process/system suggested utilized agitation, saturated steam and a sterile discharge to reduce the bioburden of paper sludge prior to entering the fermenter. Less or no organisms are therefore available to compete with the fermenting organism.

Reduce Bioburden

Apply internal mixing to disrupt the three-dimensional structure of the industrial by-product. Microorganisms become more vulnerable when exposed and thus more likely to be killed.

Preventing Recontamination

Aseptically transport the treated product from one unit operation to another without being exposed to the environment. Steam pressure and internal screw to assist with transportation.";" Bioethanol market ‑

Paper sludge
Sugarcane bagasse
Corn Stover
Switchgrass
Wheat straw
Flax shives
Hemp hurds";6
